0.000000,76.550000,83.750000,89.580000,99.850000,109.510000,118.990000,128.410000,138.410000,
0.000000,65.620000,75.760000,82.650000,93.940000,104.230000,114.230000,124.150000,134.150000,
0.000000,55.120000,68.210000,75.980000,88.170000,99.080000,109.650000,120.110000,130.110000,
0.000000,45.530000,61.140000,69.620000,82.630000,94.180000,105.340000,116.380000,126.380000,
0.000000,37.630000,54.960000,64.020000,77.780000,89.960000,101.720000,113.350000,123.350000,
0.000000,30.860000,49.010000,58.550000,73.080000,85.940000,98.360000,110.650000,120.650000,
0.000000,25.020000,43.240000,53.190000,68.480000,82.050000,95.170000,108.160000,118.160000,
0.000000,20.510000,38.130000,48.380000,64.370000,78.650000,92.480000,106.170000,116.170000,
0.000000,16.650000,33.480000,43.940000,60.590000,75.560000,90.090000,104.480000,114.480000,
0.000000,13.120000,28.770000,39.370000,56.700000,72.470000,87.820000,103.030000,113.030000,
0.000000,10.090000,24.840000,35.510000,53.410000,69.860000,85.920000,101.850000,111.850000,
0.000000,7.540000,21.330000,31.990000,50.400000,67.530000,84.310000,100.970000,110.970000,
0.000000,5.110000,18.050000,28.690000,47.580000,65.390000,82.890000,100.300000,110.300000,
0.000000,3.060000,15.140000,25.670000,44.980000,63.450000,81.680000,99.830000,109.830000,
0.000000,1.480000,12.980000,23.430000,43.050000,62.050000,80.860000,99.620000,109.620000,
0.000000,0.300000,11.180000,21.480000,41.340000,60.810000,80.170000,99.500000,109.500000,
0.000000,-0.300000,9.990000,20.100000,40.060000,59.890000,79.670000,99.440000,109.440000,
0.000000,-0.010000,10.000000,20.010000,40.010000,60.010000,80.010000,100.010000,110.010000,
0.000000,1.030000,11.260000,21.460000,41.820000,62.150000,82.480000,102.810000,112.810000,
0.000000,-1.190000,10.430000,21.400000,42.510000,63.190000,83.740000,104.250000,114.250000,
0.000000,-4.110000,7.270000,18.150000,39.230000,59.960000,80.590000,101.180000,111.180000,
0.000000,-7.050000,4.450000,15.380000,36.510000,57.260000,77.880000,98.480000,108.480000,
0.000000,-9.030000,3.040000,14.260000,35.610000,56.420000,77.070000,97.670000,107.670000,
0.000000,-8.490000,3.800000,15.140000,36.650000,57.570000,78.310000,99.000000,109.000000,
0.000000,-4.480000,7.460000,18.630000,40.010000,60.890000,81.620000,102.300000,112.300000,
0.000000,3.280000,14.350000,25.020000,45.830000,66.360000,86.810000,107.230000,117.230000,
0.000000,9.830000,20.980000,31.520000,51.800000,71.660000,91.410000,111.110000,121.110000,
0.000000,10.480000,23.430000,34.430000,54.280000,73.160000,91.740000,110.230000,120.230000,
0.000000,8.380000,22.330000,33.040000,51.490000,68.630000,85.410000,102.070000,112.070000,
0.000000,14.100000,25.170000,34.670000,51.960000,68.430000,84.670000,100.830000,110.830000,
0.000000,79.650000,81.470000,84.180000,92.770000,104.920000,118.950000,133.730000,143.730000,
